antecedents,consequents
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Bounce Back'})","frozenset({'T-Shirt', 'iSpy (feat. Lil Yachty)', 'Caroline', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Chill Bill'})","frozenset({'Bounce Back', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Fake Love'})","frozenset({'Bounce Back', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Caroline', 'Mask Off', 'Bounce Back', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Mask Off'})","frozenset({'T-Shirt', 'iSpy (feat. Lil Yachty)', 'HUMBLE.', 'Bounce Back', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'X (feat. Future)'})",frozenset({'Broccoli (feat. Lil Yachty)'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'goosebumps'})",frozenset({'Bounce Back'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Jumpman', 'Tunnel Vision', 'Low Life', 'Chill Bill', 'HUMBLE.', 'Mask Off', 'Panda', 'Bounce Back', 'goosebumps', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back', 'Fake Love'})","frozenset({'iSpy (feat. Lil Yachty)', 'Caroline'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back', 'HUMBLE.'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'T-Shirt', 'Caroline', 'XO TOUR Llif3', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back', 'Mask Off'})","frozenset({'X (feat. Future)', 'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'You Was Right', 'T-Shirt', 'HUMBLE.', 'Caroline', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back', 'Slippery (feat. Gucci Mane)'})","frozenset({'T-Shirt', 'iSpy (feat. Lil Yachty)', 'HUMBLE.', 'Mask Off', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back', 'Tunnel Vision'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back', 'goosebumps'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Moves', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Swang', 'Jumpman', 'Antidote', 'Tunnel Vision', 'Low Life', 'Panda', 'White Iverson', 'Chill Bill', 'HUMBLE.', 'Deja Vu', 'Mask Off', 'No Heart', 'One Night', 'goosebumps', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Butterfly Effect'})",frozenset({'HUMBLE.'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Chill Bill'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'HUMBLE.', 'Caroline', 'Mask Off', 'Fake Love', 'Bounce Back', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'Bounce Back'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'HUMBLE.', 'Mask Off'})","frozenset({'Bounce Back', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'HUMBLE.'})","frozenset({'T-Shirt', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Mask Off', 'Bounce Back', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'Mask Off'})","frozenset({'Bounce Back', 'T-Shirt', 'HUMBLE.', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'Slippery (feat. Gucci Mane)'})",frozenset({'HUMBLE.'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'T-Shirt'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.', 'XO TOUR Llif3'})",frozenset({'HUMBLE.'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'DNA.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'T-Shirt', 'HUMBLE.', 'Caroline', 'Mask Off', 'Bounce Back', 'goosebumps', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Deja Vu'})","frozenset({'Bounce Back', 'Fake Love'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Fake Love', 'HUMBLE.'})","frozenset({'Bounce Back', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Fake Love', 'Mask Off'})","frozenset({'Bounce Back', 'T-Shirt', 'HUMBLE.', 'Congratulations'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Fake Love'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'Caroline', 'Swang', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Tunnel Vision', 'Chill Bill', 'HUMBLE.', 'Deja Vu', 'Mask Off', 'Bounce Back', 'goosebumps', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.', 'Fake Love'})",frozenset({'Mask Off'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.', 'Mask Off'})","frozenset({'Swang', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'Fake Love', 'Bounce Back', 'goosebumps', 'Black Beatles', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.', 'Slippery (feat. Gucci Mane)'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'T-Shirt', 'Caroline', 'Mask Off', 'Bounce Back', 'goosebumps', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.', 'Swang'})","frozenset({'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.', 'Tunnel Vision'})","frozenset({'Bounce Back', 'Congratulations', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.', 'goosebumps'})","frozenset({'Mask Off', 'Bounce Back', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Portland', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Jumpman', 'Rolex', 'Tunnel Vision', ""I'm the One"", 'Panda', 'Unforgettable', 'Low Life', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Chill Bill', 'Mask Off', 'Butterfly Effect', 'Bounce Back', 'goosebumps', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Jumpman'})","frozenset({'HUMBLE.', 'Caroline', 'Mask Off', 'Bounce Back', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Low Life'})","frozenset({'X (feat. Future)', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'HUMBLE.', 'Caroline', 'Mask Off', 'Bounce Back', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Magnolia'})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'HUMBLE.', 'goosebumps'})","frozenset({'Bounce Back', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'HUMBLE.'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'Caroline', 'XO TOUR Llif3', 'Bounce Back', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'Slippery (feat. Gucci Mane)'})","frozenset({'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Caroline', 'Bounce Back', 'goosebumps', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'Swang'})","frozenset({'T-Shirt', 'HUMBLE.', 'XO TOUR Llif3'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'Tunnel Vision'})","frozenset({'T-Shirt', 'HUMBLE.', 'Congratulations', 'Bounce Back', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'goosebumps'})",frozenset({'Slippery (feat. Gucci Mane)'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Portland', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Swang', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Jumpman', 'Rolex', 'Antidote', 'Tunnel Vision', 'Low Life', 'Drowning (feat. Kodak Black)', 'Bank Account', 'Chill Bill', 'HUMBLE.', 'Bounce Back', 'goosebumps', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Money Longer'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'You Was Right', 'T-Shirt', 'pick up the phone', 'HUMBLE.', 'Caroline', 'XO TOUR Llif3', 'Mask Off', 'Bounce Back', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Moves'})","frozenset({'Bounce Back', 'T-Shirt'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'No Heart'})","frozenset({'Bounce Back', 'X (feat. Future)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Black Beatles'})",frozenset({'Broccoli (feat. Lil Yachty)'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Bounce Back'})","frozenset({'iSpy (feat. Lil Yachty)', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})","frozenset({'X (feat. Future)', 'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Low Life', 'Fake Love', 'You Was Right', 'No Role Modelz', 'Chill Bill', 'HUMBLE.', 'Caroline', 'Mask Off', 'XO TOUR Llif3', 'Bounce Back', 'goosebumps', 'Black Beatles', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'One Night'})","frozenset({'Bounce Back', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Portland'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Rolex'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'HUMBLE.', 'Mask Off', 'Bounce Back'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)', 'HUMBLE.', 'Mask Off'})",frozenset({'Bounce Back'})
